id,title,author,tags,lyrics,theme,updated_at,updated_by,version,歌詞連結
hosanna,和散那 Hosanna,新歌頌揚,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/new_songs_ringing_325.html
majesty,敬拜主 Majesty,新歌頌揚,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/new_songs_ringing_179.html
he-is-lord,祂是主 He is Lord,,讚美,,dawn,,,0,
no-other-name,別無他名 No Other Name,和撒那新歌,讚美,,dawn,,,0,
mighty-to-save,大能拯救 Mighty to Save,Hillsong,讚美,,dawn,,,0,
joyful-joyful-we-adore-thee,"快樂崇拜 Joyful, Joyful, We Adore Thee",生命聖詩 22,讚美,,dawn,,,0,
come-let-us-sing,來高聲唱 Come Let Us Sing,以琳,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/c0412.html
how-great-thou-art,祢真偉大 How Great Thou Art!,生命聖詩 12,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/life012.html
all-for-you,全然向祢 All for You,讚美之泉,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/c0033.html
holy-holy-holy,"聖哉三一 Holy, Holy, Holy",生命聖詩 5,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/life005.html
light-of-the-world,世界之光 Light of the World,讚美之泉,讚美,,dawn,,,0,
king-of-kings,萬王之王 King of Kings,Hillsong,讚美,,dawn,,,0,
our-god,我們的神 Our God,Chris Tomlin,讚美,,dawn,,,0,
fountain-of-joy,喜樂泉源 Fountain of Joy,讚美之泉,讚美,,dawn,,,0,
shout-to-the-lord,向主歡呼 Shout to The Lord,Hillsong,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/hosanna_hymns054.html
be-exalted-o-god,"願祢崇高 Be Exalted, O God",天韻,讚美,,dawn,,,0,
praise-him-praise-him,讚美救主 Praise Him! Praise Him!,生命聖詩 80,讚美,,dawn,,,0,
all-creatures-of-our-god-and-king,讚美真神 All Creatures of Our God and King,生命聖詩 20,讚美,,dawn,,,0,
our-sovereign-god,掌權的神 Our Sovereign God,新心,讚美,,dawn,,,0,http://christianstudy.com/data/hymns/text/c4888.html
the-love-fo-god,真神之愛 The Love fo God,生命聖詩 41,讚美,,dawn,,,0,
all-heaven-declares,諸天宣揚 All Heaven Declares,萬國敬拜與讚美,讚美,,dawn,,,0,
jesus-shall-reign-where-er-the-sun,主治萬方 Jesus Shall Reign Where'er the Sun,生命聖詩 16,讚美,,dawn,,,0,
revelation-song,啟示錄之歌 Revelation Song,約書亞,讚美,,dawn,,,0,
10000-reasons,千萬個理由 10000 Reasons,Matt Redman,讚美,,dawn,,,0,
holy-is-he,全然聖潔主 Holy is He,David T. Clydesdale,讚美,,dawn,,,0,https://www.youtube.com/watch?v=9WPUugYZId8
let-praise-arise,讓讚美飛揚 Let Praise Arise,讚美之泉,讚美,,dawn,,,0,
is-he-worthy,祂是否配得？Is He Worthy?,Chirs Tomlin,讚美,,dawn,,,0,
how-great-is-our-god,我神真偉大 How Great Is Our God,Chirs Tomlin,讚美,,dawn,,,0,
blessed-assurance-jesus-is-mine,有福的確據 Blessed Assurance Jesus Is Mine,生命聖詩 414,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/life414.html
praise-to-the-lord-the-almighty,"讚美全能神 Praise to the Lord, the Almighty",生命聖詩 26,讚美,,dawn,,,0,
from-everlasting-to-everlasting,從亙古到永遠 From Everlasting To Everlasting,生命河靈糧堂,讚美,,dawn,,,0,
you-are-the-king-of-glory,祢是榮耀君王 You Are the King of Glory,萬國敬拜與讚美,讚美,,dawn,,,0,
to-god-be-the-glory,榮耀歸於真神 To God Be the Glory,生命聖詩 8,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/life008.html
glorious-is-thy-name,榮耀是主聖名 Glorious Is Thy Name,生命聖詩 59,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/life059.html
praise-in-the-desert,沙漠中的讚美 Praise in the Desert,讚美之泉,讚美,,dawn,,,0,
come-and-worship-the-king,萬民同來敬拜 Come And Worship the King,小羊,讚美,,dawn,,,0,
praise-the-lord,一切歌頌讚美 Praise the Lord,讚美之泉,讚美,,dawn,,,0,
jesus-christ-is-the-lord,耶穌基督是主 Jesus Christ is the Lord,小羊詩歌,讚美,,dawn,,,0,http://christianstudy.com/data/hymns/text/c1581.html
crown-him-with-many-crowns,擁戴我主為王 Crown Him with Many Crowns,生命聖詩 9,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/life009.html
almighty-living-god,永活全能的神 Almighty living God,讚美之泉,讚美,,dawn,,,0,http://www.christianstudy.com/data/hymns/text/c0316.html
be-exalted-o-god-50ea,"願祢崇高,哦主 Be Exalted O God",傳耶穌,讚美,,dawn,,,0,
praise-forever-more,讚美直到永遠 Praise Forever More,恩惠事奉團契,讚美,,dawn,,,0,
this-is-my-father-s-world,這是天父世界 This Is My Father's World,生命聖詩 512,讚美,,dawn,,,0,
what-a-wonderful-savior,何等奇妙的救主 What A Wonderful Savior,生命聖詩 64,讚美,,dawn,,,0,
o-god-i-want-to-praise-you,"神哪我要讚美祢 O God, I Want To Praise You",天韻＋新心,讚美,,dawn,,,0,
lord-i-lift-your-name-on-high,"主,我高舉祢的名 Lord, I Lift Your Name On High",,讚美,,dawn,,,0,
praise-the-lord-all-ye-people,你們要讚美耶和華 Praise the Lord All Ye People,讚美之泉,讚美,,dawn,,,0,https://www.youtube.com/watch?v=ciPewG4G6yk
let-s-praise-the-lord,我們來讚美耶和華 Let's Praise the Lord,新心音樂,讚美,,dawn,,,0,
the-joy-of-the-lord-is-my-strength,主的喜樂是我力量 The Joy of the Lord Is My Strength,讚美之泉,讚美,,dawn,,,0,
this-is-the-day,這是耶和華所定日子 This is the Day,讚美之泉,讚美,,dawn,,,0,
my-god-my-father-my-rock,"我的神,我的父,我的磐石 My God, My Father, My Rock",新心音樂,讚美,,dawn,,,0,http://christianstudy.com/data/hymns/text/c0154.html
cornerstone,房角石 Cornerstone,,敬拜,,midnight,,,0,
bless-the-lord-o-my-soul,"稱頌上主 Bless the Lord, O My Soul",生命聖詩 13,敬拜,,midnight,,,0,
you-are-my-god,祢是我神 You Are My God,新心音樂,敬拜,,midnight,,,0,http://christianstudy.com/data/hymns/text/c1270.html
and-can-it-be-that-i-should-gain,奇異的愛 And Can it Be That I Should Gain,生命聖詩 178,敬拜,,midnight,,,0,
amazing-grace,奇異恩典 Amazing Grace,生命聖詩 185,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/life185.html
our-glorious-lord,榮耀的主 Our Glorious Lord,新心音樂,敬拜,,midnight,,,0,
god-s-way,神的道路 God's Way,天韻詩歌,敬拜,,midnight,,,0,
