id,title,author,tags,lyrics,theme,updated_at,updated_by,version
amazing-grace,奇异恩典,约翰·牛顿 1779,恩典 · 救赎,"奇异恩典 何等甘甜
我罪已得赦免
前我失丧 今被寻回
瞎眼今得看见

如此恩典 使我敬畏
使我心得安慰
初信之时 即蒙恩惠
真是何等宝贵

许多危险 试炼网罗
我已安然经过
靠主恩典 安全不怕
更引导我归家

将来禧年 圣徒欢聚
恩光爱谊千年
喜乐颂赞 在父座前
深望那日快现",parchment,2026-09-11T00:00:00Z,,1
this-is-my-fathers-world,天父世界,巴柏 1901,创造 · 赞美,"这是天父世界 我要侧耳倾听
宇宙歌唱 四围响应 星辰作乐同声
这是天父世界 我心满有安宁
树木花草 苍天碧海 述说天父全能

这是天父世界 小鸟展翅飞鸣
清晨明亮 好花美丽 证明天理精深
这是天父世界 他爱普及万千
风吹之草 将他表现 天父充满世间

这是天父世界 求主让我不忘
罪恶虽然 好像得胜 天父却仍掌管
这是天父世界 我心不必忧伤
主是君王 天地同唱 歌声充满万方",dawn,2026-09-11T00:00:00Z,,1
holy-holy-holy,圣哉三一,希伯 1826,敬拜 · 三一,"圣哉 圣哉 圣哉 全能大主宰
清晨我众歌声 向主同发
圣哉 圣哉 圣哉 慈悲与全能
荣耀与赞美 归三一真神

圣哉 圣哉 圣哉 众圣都敬拜
放下黄金冠冕 环绕晶海
千万天军叩首 同声相和
昔在而今在 永在的真神

圣哉 圣哉 圣哉 虽在黑暗中
罪人不能看见 主的荣形
惟主独圣 惟主纯全无疵
全权全能全爱 完备无匹

圣哉 圣哉 圣哉 全能大主宰
天地与海和空 同赞美主名
圣哉 圣哉 圣哉 慈悲与全能
荣耀与赞美 归三一真神",midnight,2026-09-11T00:00:00Z,,1
a-mighty-fortress,坚固保障,马丁·路德 1529,信心 · 得胜,"上主是我坚固保障 庄严雄峻永坚强
上主使我安稳前航 助我乘风破骇浪
恶魔盘踞世上 仍图把我伤害
狰狞凶恶异常 机巧残酷难挡
尘世无人可与比拟

我们若靠自己力量 我们斗争必失败
惟有一位安居上方 是神亲自选出来
你问此人是谁 名为耶稣基督
万军之主元帅 万世无双君王
祂必得胜到永远",forest,2026-09-11T00:00:00Z,,1
rock-of-ages,万古磐石,陶普雷 1763,救赎 · 十架,"万古磐石为我开 容我藏身在主怀
愿因主流水和血 洗我一生诸罪孽
使我免去罪权势 使我脱离罪污秽

非我手中所献工 能满律法的要求
纵我热心无稍减 纵我眼泪永长流
仍难赎我众罪愆 惟主能救只有主

两手空空无代价 单单投靠主十架
赤身前来求主衣 无助仰望主恩期
污秽投主泉源里 主若不洗我必死",vesper,2026-09-11T00:00:00Z,,1
to-god-be-the-glory,荣耀归于真神,范尼·克罗斯比 1875,赞美 · 救恩,"荣耀归于真神 他成就大事
为爱世人甚至 赐下独生子
献上祂的生命 作我赎罪祭
敞开生命之门 使我得永生

赞美主 赞美主 全地听主声
赞美主 赞美主 万民当欢欣
借着圣子耶稣 来到父面前
荣耀归于真神 他成就大事

祂所流的宝血 何等的完全
凡信祂的人 都必得赦免
罪人虽然污秽 若真心相信
主必赦免洁净 赐新的生命",dawn,2026-09-11T00:00:00Z,,1
count-your-blessings,数算主恩,奥特曼 1897,感恩 · 安慰,"当你遇见苦难 几乎要绝望
当你失去勇气 前途满渺茫
请你数算主恩 一件一件数
必能叫你惊讶 主恩何等富

数主恩典 数主恩典
一一数算 主的恩典
数主恩典 记主恩典
必能叫你惊讶 主恩何等富

当你肩负重担 十架难背起
当你灰心丧志 前途满疑虑
请你数算主恩 天上有财宝
从此不再叹息 一路有主保",parchment,2026-09-11T00:00:00Z,,1
be-still-my-soul,我灵镇静,冯·施莱格 1752,安息 · 信靠,"我灵镇静 主正在你身旁
忍受十架 苦痛与忧伤
让你的神 安排和主张
每次变幻 祂都必扶将
我灵镇静 天友始终不变
将来欢欣 定能补足今天

我灵镇静 主必修平你路
将来盼望 使你心欢畅
如今奥秘 那时必成显然
风浪之后 是主的安宁
我灵镇静 风浪仍听主命
如同当年 平静加利利",midnight,2026-09-11T00:00:00Z,,1
nearer-my-god-to-thee,靠近我主,亚当斯 1841,亲近 · 祷告,"靠近我主 与主相亲
虽然境遇 如同十架苦辛
我心所愿 惟主是亲
靠近我主 与主相亲

漂流在外 日已西沉
黑暗笼罩 我以石头为枕
睡梦之中 依然思亲
靠近我主 与主相亲

梦见天梯 从天而来
凡主所赐 都是慈爱安排
天使招手 引我向前
靠近我主 与主相亲",vesper,2026-09-11T00:00:00Z,,1
silent-night,平安夜,莫尔 1818,圣诞 · 降生,"平安夜 圣善夜
万暗中 光华射
照着圣母也照着圣婴
多少慈祥也多少天真
静享天赐安眠
静享天赐安眠

平安夜 圣善夜
牧羊人 在旷野
忽然看见了天上光华
听见天军唱哈利路亚
救主今夜降生
救主今夜降生

平安夜 圣善夜
神子爱 光皎洁
救赎宏恩的黎明来到
圣容发出来荣光普照
耶稣我主降生
耶稣我主降生",snow,2026-09-11T00:00:00Z,,1
